Hybridization REF	TCGA-01-0630-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-154*	4.949179391
hsa-miR-155	5.941936051
hsa-miR-155*	4.626623448
hsa-miR-15a	7.460620668
hsa-miR-15a*	4.532013839
hsa-miR-15b	6.388787238
hsa-miR-15b*	4.480753746
hsa-miR-16	8.559955076
hsa-miR-16-1*	4.735276932
hsa-miR-16-2*	4.48765526
hsa-miR-17	8.498916985
hsa-miR-17*	7.830590272
hsa-miR-181a	12.5804805
hsa-miR-181a-2*	4.817198573
hsa-miR-181a*	5.122247256
hsa-miR-181b	9.715217981
hsa-miR-181c	7.033244564
hsa-miR-181c*	5.391769999
hsa-miR-181d	6.72882543
hsa-miR-182	3.856135702
hsa-miR-182*	4.438205685
hsa-miR-183	4.1805898
hsa-miR-183*	4.628889283
hsa-miR-184	5.218043842
hsa-miR-185	7.757861953
hsa-miR-185*	4.655427976
hsa-miR-186	7.530991572
hsa-miR-186*	4.905838163
hsa-miR-187	4.615147309
hsa-miR-187*	5.664924022
hsa-miR-188-3p	4.671737552
hsa-miR-188-5p	9.698323292
hsa-miR-18a	4.352764017
hsa-miR-18a*	4.658785925
hsa-miR-18b	4.316621677
hsa-miR-18b*	4.775482942
hsa-miR-190	4.585293137
hsa-miR-190b	4.671692357
hsa-miR-191	4.657829391
hsa-miR-191*	5.083717302
hsa-miR-192	5.796120499
hsa-miR-192*	4.635689481
hsa-miR-193a-3p	8.889488193
hsa-miR-193a-5p	8.168519591
hsa-miR-193b	6.59047491
hsa-miR-193b*	5.986832975
hsa-miR-194	5.697951694
hsa-miR-194*	4.79485713
hsa-miR-195	10.00523278
hsa-miR-195*	6.021262187
hsa-miR-196a	4.947377523
hsa-miR-196a*	4.644817913
hsa-miR-196b	5.976573058
hsa-miR-197	5.511404552
hsa-miR-198	6.058583212
hsa-miR-199a-5p	11.31889655
hsa-miR-199b-3p	10.00238685
hsa-miR-199b-5p	6.820292774
hsa-miR-19a	8.160901982
hsa-miR-19a*	4.63809229
hsa-miR-19b	12.60936951
hsa-miR-19b-1*	4.782517999
